,0,1,2,3,4,5,6,7,8,9
United,0.03849996499795409,0.16093716938543493,0.18194610494748145,0.001407163155769963,0.12525153057081007,0.10705691984768122,0.04201787146180879,0.05388025064736759,0.12454794928704008,0.16445507569865186
Charles,0.09650548639156742,0.07574298467662291,0.08159734537936698,0.0905925914607182,0.1400682237588266,0.08978265619779328,0.12095319034281816,0.1152926828559104,0.08518838247110141,0.10427645646527475
Straw,0.09650539126675446,0.07574299156323344,0.08159738164460532,0.09059258107405953,0.14006818776613195,0.0897826700218499,0.12095321503330302,0.11529274737145832,0.0851884552706668,0.10427637898793723
Parliament,0.09650548639154168,0.07574298467662477,0.0815973453793768,0.0905925914607154,0.14006822375881686,0.08978265619779703,0.12095319034282483,0.11529268285592786,0.08518838247112111,0.10427645646525376
Lib,0.09650548639154259,0.07574298467662469,0.08159734537937642,0.09059259146071548,0.14006822375881728,0.08978265619779684,0.1209531903428246,0.11529268285592717,0.08518838247112036,0.10427645646525456
Kingdom,0.038499964997954085,0.16093716938543495,0.18194610494748148,0.001407163155769963,0.12525153057081007,0.10705691984768122,0.042017871461808784,0.05388025064736758,0.12454794928704005,0.16445507569865186
Clarke,0.1537774218977879,0.07159636658727281,0.059763193405706294,0.09684589744343138,0.16173835347187257,0.0814598531651114,0.10608785406041867,0.07644980896359246,0.04135788420329561,0.15092336680151094
Michael,0.062791234237586,0.07818374558152269,0.0944505153654869,0.08691133925291755,0.12731164904429196,0.09468219520819955,0.12970402207686263,0.13815836198540882,0.11099009316585254,0.07681684408187124
Britain,0.06279123423758591,0.07818374558152268,0.09445051536548695,0.08691133925291777,0.12731164904429182,0.09468219520819961,0.12970402207686269,0.13815836198540868,0.11099009316585261,0.07681684408187146
Dem,0.0965054863915426,0.07574298467662467,0.08159734537937642,0.0905925914607155,0.14006822375881725,0.08978265619779685,0.12095319034282459,0.11529268285592718,0.08518838247112036,0.10427645646525455
Daily,0.11429180374257973,0.0061378454380863,0.08003068922719042,0.04423511335227955,0.1973914156888134,0.09524316978548313,0.1943224929697701,0.1775755510519559,0.08309961194623357,0.007672306797607872
Rome,0.02772215876507725,0.05375330346983165,0.07986880224821614,0.19943845619066233,0.03221972624667982,0.11012083605529854,0.1616882421031902,0.026291298384974314,0.11668469757338783,0.19221247896268198
Howard,0.06279123423758598,0.07818374558152269,0.09445051536548693,0.08691133925291757,0.12731164904429199,0.09468219520819952,0.12970402207686266,0.13815836198540887,0.11099009316585255,0.07681684408187123
Jack,0.09650539126671745,0.07574299156323612,0.08159738164461945,0.09059258107405549,0.14006818776611796,0.08978267002185529,0.12095321503331265,0.11529274737148341,0.08518845527069514,0.10427637898790709
Wright,0.0519520476308917,0.004206746501144675,0.1133219683936414,0.19226470415172586,0.13929350141573432,0.08211436038826403,0.23585961866702765,0.08526063527658485,0.08838538534192471,0.0073410322330608405
Ancram,0.06279123423758597,0.0781837455815227,0.09445051536548693,0.08691133925291755,0.12731164904429196,0.09468219520819955,0.12970402207686266,0.13815836198540882,0.11099009316585257,0.07681684408187123
Cabinet,0.09650537472687572,0.07574299276064664,0.08159738795024346,0.09059257926807361,0.1400681815078825,0.0897826724255153,0.12095321932637455,0.11529275858913444,0.08518846792873094,0.10427636551652292
Europe,0.06279123423747253,0.07818374558144364,0.09445051536543982,0.08691133925328169,0.12731164904398434,0.09468219520824951,0.12970402207696607,0.1381583619850469,0.11099009316587105,0.07681684408224462
Kennedy,0.0965054863915426,0.07574298467662467,0.08159734537937641,0.09059259146071548,0.14006822375881728,0.08978265619779685,0.12095319034282458,0.11529268285592718,0.08518838247112036,0.10427645646525455
EU,0.06279123431305818,0.07818374557605884,0.09445051533671406,0.08691133926115858,0.12731164907284856,0.09468219519723156,0.1297040220572732,0.13815836193422185,0.11099009310809324,0.07681684414334218
Telegraph,0.11429180374257972,0.0061378454380863,0.08003068922719041,0.044235113352279545,0.1973914156888134,0.09524316978548311,0.19432249296977008,0.17757555105195588,0.08309961194623357,0.007672306797607872
YouGov,0.12374015322260279,0.1803281429244235,0.05872466272754508,0.03891083669576816,0.1060641563778163,0.002844272722567971,0.05516931622113728,0.1272989644773437,0.13014207543544773,0.17677741919534753
